"
BIM менеджер/Программист","Необходим специалист для разработки плагинов и скриптов к программным комплексам компании Autodesk (Revit, Navisworks, 3ds Max и др.)"
"
Системный аналитик в ""Home Credit Bank""","""Home Credit Bank"" в поисках Системного аналитика, но новый продукт для МСБ ""Daily Banking""."
"
Специалист службы поддержки клиентов","Специалист службы поддержки клиентов – это профессионал, который отвечает за установление и поддержание отношений с клиентами компании."
"
Solution sale по Hardware","Поддержка менеджеров блока продаж в проведении переговоров с заказчиками, анализ текущей архитектуры заказчика для подбора решений."
"
Юрист","Командная работа в отделе, связанная с юридическим сопровождением деятельности группы компаний Noventiq"
"
Инженер по информационной безопасности","Осуществление внедрения и поддержки решений по ИБ, подготовка технической документации, формирование спецификаций, проведение пилотов."
"
Руководитель направления по информационной безопасности","Организация и контроль деятельности подразделения, оптимизация бизнес-процессов, выполнение плана продаж по направлению ИБ, управление подразделением."
"
Менеджер по продажам SMB","Развитие IT-продаж в малом и среднем бизнесе"
"
Инженер технической поддержки","ТОО «Центр технической компетенции DEMEU» - это команда профессионалов с большим опытом работы по поставкам, обслуживанию и ремонту оборудования IT."
"
Проектный менеджер","Проектный менеджер в MedTech-стартап"
"
Проектный менеджер","В компанию оказывающие услуги по цифровой трансформации производственных процессов требуется проектный менеджер"
"
Офис менеджер / Бизнес ассистент","Требуется офис менеджер (бизнес ассистент)"
"
Экспедитор","Требуется опытный экспедитор в качестве эксперта для ИТ компании на длительный срок"
"
Аккаунт менеджер EPG","Развитие IT-продаж в крупном корпоративном бизнесе"
"
Главный менеджер офиса регистрации участников","Международный Технопарк IT стартапов в поисках специалиста по налогам с опытом от 5 лет на позицию Главного менеджера в офис регистрации участников."
"
PR-manager","PR-manager"
"
ТОО Тасыма","Перспективная команда ишеть опытного аналитика синьор уровня для реализаций инновационного решения в сфере логистики. Привествует опыт работы в подоных сферах.."
"
Инженер технической поддержки","ТОО ""Центр технической компетенциb DEMEU"""
"
Middle Unity Developer","Требуется прокаченный и прогрессивный Unity Developer уровня Middle+ / Senior для удалённой работы на fulltime. ✏️ TG: @Alexey_Jobs"
"
Бухгалтер в единственном лице","Ищем бухгалтера в единственном лице удаленно в известную IT компанию, два юрлица, в Казахстане, в Дубае. Уровень дохода обсуждается индивидуально."
"
Верстальщик (React)","Ищем верстальщика на React в крутую IT школу IT-incubator"
"
Junior QA Manual","READY TO SHAPE THE FUTURE? PLEASE APPLY FOR OUR CAREER SITE: https://careers.hiqo-solutions.com/vacancies"
"
Flutter-разработчик","Мы — инновационная IT-компания, специализирующаяся на разработке мобильных приложений для различных платформ."
"
UX/UI-дизайнер + Motion-дизайнер","Ищем в команду UX/UI-дизайнера (Figma) с навыками motion-дизайнера (AfterEffects).
Присылайте резюме и получите тестовое задание :)
ЗП по итогу собеседования"
"
Модератор приложения","Модератор приложения Biny co"
"
Инженер по внедрению","Медицинский стартап ищет инженера по внедрению на выездное подключение:"
"
Frontend-разработчик","Ищем Frontend-разработчик на full-time в команду (VueJS). Если ты хочешь развиваться и расти вместе со стартапом, если не боишься сложностей-добро пожаловать!"
"
IT Analyst","• Анализ, валидация и проверка требований, а также проверка, что формулировки требований являются полными, последовательными, краткими, понятными, отслеживаемым"
"
С# developer","Development on C#, GoLang
Work with CRM (Creatio)"
"
Mobile Manager","Mobile Manager / PPC Specialist"
"
Комьюнити менеджер","Мы ищем энергичного и ответственного Коммьюнити Менеджера, который будет играть ключевую роль в поддержании связи с нашими клиентами и сообществом в социальных"
"
Модератор приложения","Модератор приложения Biny co"
"
Sales Manager","Краткое описание

Мы ищем талантливого и энергичного Sales Manager"
"
Директора по развитию бизнеса","Мы ищем опытного и целеустремленного Директора по развитию бизнеса"
"
BAP - Sanctions, Anti-Bribery & Corruption","Eastern Europe / Full-time: Remote / Compliance"
"
Binance Accelerator Programme - Marketing Project Management","Восточная Европа / Ранняя карьера / Маркетинг"
"
Binance Accelerator Program -Data Scientist Risk Management","Азия / Начало карьеры / Данные и аналитика
Кто может подать заявку: нынешние студенты бакалавриата / магистратуры и новые выпускники."
"
Binance Accelerator Program - Junior Data Analyst","Asia / Early Careers / Operations
Who may apply:
Current undergraduate / graduate students and fresh graduates."
"
Director of Core Compliance Programs","Global / Full-time: Remote / Compliance"
"
Compliance and Risk Officer - Poland","Poland, Warsaw / Full-time Onsite or Remote / Compliance"
"
Enhanced Due Diligence Compliance Analyst","Global/ Remote"
"
Архитектор DWH","Департамент технологичных платформ данных"
"
.Net developer","Департамент Homebank"
"
Glover Specialist","We are looking for someone who will be responsible for developing, maintaining, and optimizing our courier fleet."
"
Старший менеджер по развитию платежей","Управление по развитию платежей"
"
IT engineer","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Implementation manager","Founded in 1987, Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. We have 207,000 employ"
"
Suspicious Activity Investigator","We are seeking a SAR Investigator to support our compliance growth into all global frontiers and provide support on suspicious activity reviews to ensure we sta"
"
Copywriter (MENA) UAE, DUBAI","Binance Exchange is the leading crypto exchange by trading volume and users, with customers in over 180 countries and regions."
"
Growth Operations Manager - Turkey","If you’re looking for a fast-paced, mission-driven organization where opportunities to learn and excel are endless, then Binance is the place for you"
"
Marketing Manager in South East Asia","Binance Exchange is the leading crypto exchange by trading volume and users, with customers in over 180 countries and regions."
"
Marketing Manager in South East Asia","Binance Exchange is the leading crypto exchange by trading volume and users, with customers in over 180 countries and regions."
"
Senior Performance Marketing Specialist - Programmatic Trade","you’ll lead our digital advertising team in the planning and execution of paid ad campaigns across programmatics DPS"
"
Social Media Specialist (TikTok)","If you’re looking for a fast-paced, mission-driven organization where opportunities to learn and excel are endless, then Binance is the place for you."
"
DevOps Architect / Lead","You'll have experience in designing, implementing, and maintaining large-scale, complex, highly critical applications."
"
Senior Principal Engineer - Backend (Java)","Principal Engineer - a technical leader role with hands on coding tasks. He/She would join a greenfield projects to continuously build and scale our blockchain."
